[USER] I am looking for a restaurant. I would like something cheap that has Chinese food.  [SYSTEM] I've heard good things about the lucky star. Need a reservation? [END]
[USER] Yes please. I would like a reservation for 4 people at 15:00 on tuesday.  [SYSTEM] I'm sorry but there wasn't a table available at that time. Would you like to try another restaurant? [END]
[SYSTEM] I'm sorry but there wasn't a table available at that time. Would you like to try another restaurant?  [USER] Yes, please. If you could find one similar to Taj Tandoori, that would be perfect. [END]
[USER] Yes, please. If you could find one similar to Taj Tandoori, that would be perfect.  [SYSTEM] I'm sorry Taj Tandoori is the only Indian Cuisine available in the south, would you like to try a different cuisine? [END]
[SYSTEM] I'm sorry Taj Tandoori is the only Indian Cuisine available in the south, would you like to try a different cuisine?  [USER] Sure, but let's try to keep it in the same area and price range please. [END]
[USER] Sure, but let's try to keep it in the same area and price range please.  [SYSTEM] I booked a table for you at peking restaurant. Reference number is XPE4EOGJ . Anything else today? [END]
[SYSTEM] I booked a table for you at peking restaurant. Reference number is XPE4EOGJ . Anything else today?  [USER] Okay that is all I need at the moment. [END]
[USER] Okay that is all I need at the moment.  [SYSTEM] Okay. Enjoy your dining experience. [END]
[USER] Id like to eat at an expensive Indian place, know any?  [SYSTEM] There are many to choose from,can I get what area you would like the restaurant to be at to narrow it down? [END]
[SYSTEM] There are many to choose from,can I get what area you would like the restaurant to be at to narrow it down?  [USER] How about in the city centre? [END]
[USER] How about in the city centre?  [SYSTEM] There are 6 Indian restaurants that fit this. Would you like me to book one for you? [END]
[SYSTEM] There are 6 Indian restaurants that fit this. Would you like me to book one for you?  [USER] Yes, which of them have the best reviews? [END]
[USER] Yes, which of them have the best reviews?  [SYSTEM] I am sorry I cannot see the reviews. I can give you their phone numbers and you may call them if you like. [END]
[SYSTEM] I am sorry I cannot see the reviews. I can give you their phone numbers and you may call them if you like.  [USER] Can you see which ones have availability Sunday at 19:15 for 2 people? [END]
[USER] Can you see which ones have availability Sunday at 19:15 for 2 people?  [SYSTEM] Booking was successful. The table will be reserved for 15 minutes. Reference number is : K3EBX9QT . The booking is at the Golden Curry. Need anything else? [END]
[SYSTEM] Booking was successful. The table will be reserved for 15 minutes. Reference number is : K3EBX9QT . The booking is at the Golden Curry. Need anything else?  [USER] Nope, that would be it. Thanks for all the help, have a nice day! [END]
[USER] Nope, that would be it. Thanks for all the help, have a nice day!  [SYSTEM] Thank you for using Cambridge TownInfo centre. [END]
[USER] Can you please help me find a cheap italian restaurant?  [SYSTEM] I show five that fit your criteria. May I ask the location you are in? This would help refine our search. [END]
[SYSTEM] I show five that fit your criteria. May I ask the location you are in? This would help refine our search.  [USER] It doesn't matter what area. Can you book a table for 2 people at 11:00 on Wednesday. [END]
[USER] It doesn't matter what area. Can you book a table for 2 people at 11:00 on Wednesday.  [SYSTEM] Would you like more details on any of the available restaurants before booking a table? [END]
[SYSTEM] Would you like more details on any of the available restaurants before booking a table?  [USER] If there is one that you know of that you recommend, that would be fine. I don't know any, so some guidance would be great. [END]
[USER] If there is one that you know of that you recommend, that would be fine. I don't know any, so some guidance would be great.  [SYSTEM] How about la margherita? [END]
[SYSTEM] How about la margherita?  [USER] Okay as long as it's in the same price range. [END]
[USER] Okay as long as it's in the same price range.  [SYSTEM] La Margherita was unavailable. I was able to book you at Zizzi Cambridge which is in the same price range. Your reference number is QRJ5MP30 . Is this acceptable? [END]
[SYSTEM] La Margherita was unavailable. I was able to book you at Zizzi Cambridge which is in the same price range. Your reference number is QRJ5MP30 . Is this acceptable?  [USER] Great Yes it is and thank you. [END]
[USER] Great Yes it is and thank you.  [SYSTEM] Will you be needing anything else today? [END]
[SYSTEM] Will you be needing anything else today?  [USER] No, that's all. Thanks again for your help. [END]
[USER] No, that's all. Thanks again for your help.  [SYSTEM] Thank you for using our service. [END]
[USER] Find me a place called maharajah tandoori restaurant, please  [SYSTEM] Yes, maharajah tandoori restaurant serves Indain food and is located in the west. They are the expensive price range. Would you like to book a table there? [END]
[SYSTEM] Yes, maharajah tandoori restaurant serves Indain food and is located in the west. They are the expensive price range. Would you like to book a table there?  [USER] Yes, please book a table for 3 at 12:15 on Monday. [END]
[USER] Yes, please book a table for 3 at 12:15 on Monday.  [SYSTEM] Booking was successful. The table will be reserved for 15 minutes. Reference number is : QOES657A . [END]
[SYSTEM] Booking was successful. The table will be reserved for 15 minutes. Reference number is : QOES657A .  [USER] Great thank you [END]
[USER] Great thank you  [SYSTEM] No thank you that will be all [END]
[USER] I am looking for a Cuban food place, in the east.  [SYSTEM] I am sorry but there aren't any restaurants matching your criteria. Can I help you with something else? [END]
[SYSTEM] I am sorry but there aren't any restaurants matching your criteria. Can I help you with something else?  [USER] Can you check again? The only thing I'm interested in is a moderately priced Cuban restaurant in the east. [END]
[USER] Can you check again? The only thing I'm interested in is a moderately priced Cuban restaurant in the east.  [SYSTEM] I apologize I am still not showing any restaurants that meet your criteria. Is there another type of cuisine you would prefer? [END]
[SYSTEM] I apologize I am still not showing any restaurants that meet your criteria. Is there another type of cuisine you would prefer?  [USER] Do you have a moderately priced Indian restaurant in the east? [END]
[USER] Do you have a moderately priced Indian restaurant in the east?  [SYSTEM] Yes I have 2. Curry Prince and Rajmahal. [END]
[SYSTEM] Yes I have 2. Curry Prince and Rajmahal.  [USER] I will try the Curry Prince. Can you book a table for 4 people on Monday at 17:30? [END]
[USER] I will try the Curry Prince. Can you book a table for 4 people on Monday at 17:30?  [SYSTEM] I apologize booking was unsuccessful. Would you like me to try Rajmahal [END]
[SYSTEM] I apologize booking was unsuccessful. Would you like me to try Rajmahal  [USER] Yes, try that. [END]
[USER] Yes, try that.  [SYSTEM] I have you at Rajmahal, Reference number is : T44KC552 . Anything else you need? [END]
[SYSTEM] I have you at Rajmahal, Reference number is : T44KC552 . Anything else you need?  [USER] No, thank you. You have been very helpful. Have a great day. [END]
[USER] No, thank you. You have been very helpful. Have a great day.  [SYSTEM] Here is the address and the phone number: 7 Barnwell Road Fen Ditton, 01223244955. [END]
[SYSTEM] Here is the address and the phone number: 7 Barnwell Road Fen Ditton, 01223244955.  [USER] Thanks again for helping to find me a place to eat. I have the reference number T44KC552. [END]
[USER] Thanks again for helping to find me a place to eat. I have the reference number T44KC552.  [SYSTEM] Enjoy your meal at the rajmahal. Have a great day. [END]
[USER] I would like a moderately priced steakhouse restaurant.  [SYSTEM] There are no moderately priced steakhouse restaurants. Would you like to change your query? [END]
[SYSTEM] There are no moderately priced steakhouse restaurants. Would you like to change your query?  [USER] How about moderately priced British food? [END]
[USER] How about moderately priced British food?  [SYSTEM] There are four options in centre and one option in west. Do you have a preference on the area? [END]
[SYSTEM] There are four options in centre and one option in west. Do you have a preference on the area?  [USER] Can you give me the phone numbers please [END]
[USER] Can you give me the phone numbers please  [SYSTEM] Do you want the phone numbers to Restaurant One Seven? [END]
[SYSTEM] Do you want the phone numbers to Restaurant One Seven?  [USER] Okay, so may I have the number please? [END]
[USER] Okay, so may I have the number please?  [SYSTEM] Restaurant One Seven's phone number is 01223 337766. [END]
[SYSTEM] Restaurant One Seven's phone number is 01223 337766.  [USER] Thank you, goodbye [END]
[USER] Thank you, goodbye  [SYSTEM] Have a nice day [END]
[USER] I want a moderately priced restaurant and serves asian oriental food. What is the address and phone number?  [SYSTEM] there is an Asian Oriental place at 40428 King Street City Centre. You can call them at 01223 518111. [END]
[SYSTEM] there is an Asian Oriental place at 40428 King Street City Centre. You can call them at 01223 518111.  [USER] Thank you goodbye. [END]
[USER] Thank you goodbye.  [SYSTEM] Thank you for using our system! Have a great day! [END]
[USER] Do you have any restaurants that serve caribbean food?  [SYSTEM] There are no Caribbean restaurants. Would you like something else? [END]
[SYSTEM] There are no Caribbean restaurants. Would you like something else?  [USER] What about a restaurant that serves Chinese food? What is their phone number? [END]
[USER] What about a restaurant that serves Chinese food? What is their phone number?  [SYSTEM] There are many Chinese restaurants to choose from. Do you have a preferred area of town? [END]
[SYSTEM] There are many Chinese restaurants to choose from. Do you have a preferred area of town?  [USER] no, it doesn't matter [END]
[USER] no, it doesn't matter  [SYSTEM] Let me provide you with a couple options, Charlie Chan- phone 01223 361763 or Golden House - phone 01842 753771 [END]
[SYSTEM] Let me provide you with a couple options, Charlie Chan- phone 01223 361763 or Golden House - phone 01842 753771  [USER] Thank you, goodbye [END]
[USER] Thank you, goodbye  [SYSTEM] Thank you for calling. Goodbye. [END]
[USER] I would like a cheap restaurant that serves mediterranean food  [SYSTEM] The Gardenia is a cheap restaurant that serves Mediterranean food. Is the centre part of town okay for you? [END]
[SYSTEM] The Gardenia is a cheap restaurant that serves Mediterranean food. Is the centre part of town okay for you?  [USER] Yes, thank you. Could you tell me the address and phone number of that restaurant? [END]
[USER] Yes, thank you. Could you tell me the address and phone number of that restaurant?  [SYSTEM] Certainly, The Gardenia is located at 2 Rose Crescent City Centre and can be reached at 01223 356354. May I be of further assistance? [END]
[SYSTEM] Certainly, The Gardenia is located at 2 Rose Crescent City Centre and can be reached at 01223 356354. May I be of further assistance?  [USER] The Gardenia sounds good. Thanks. [END]
[USER] The Gardenia sounds good. Thanks.  [SYSTEM] Good bye. [END]
[USER] I am looking for a place serving christmas food in the centre of town.  [SYSTEM] It doesn't look like there are any restaurants of that type. Would you like to try a different cuisine? [END]
[SYSTEM] It doesn't look like there are any restaurants of that type. Would you like to try a different cuisine?  [USER] Do you have any Indian restaurants? [END]
[USER] Do you have any Indian restaurants?  [SYSTEM] Yes, we have nine Indian restaurants in the center of town. Do you have a preference in price range? [END]
[SYSTEM] Yes, we have nine Indian restaurants in the center of town. Do you have a preference in price range?  [USER] I actually would prefer gastropub type food and preferably in the moderate price range. [END]
[USER] I actually would prefer gastropub type food and preferably in the moderate price range.  [SYSTEM] The Cow Pizza Kitchen and Bar would be perfect for you! Would you like for me to book you a table? [END]
[SYSTEM] The Cow Pizza Kitchen and Bar would be perfect for you! Would you like for me to book you a table?  [USER] Are there any other options for gastropub? [END]
[USER] Are there any other options for gastropub?  [SYSTEM] The Cow Pizza Kitchen and Bar is the only gastropub in all of Cambridge. [END]
[SYSTEM] The Cow Pizza Kitchen and Bar is the only gastropub in all of Cambridge.  [USER] In that case, could you give me the address and phone number? [END]
[USER] In that case, could you give me the address and phone number?  [SYSTEM] I sure can. The address is Corn Exchange Street, and the phone number is 01223308871. Can I help you with anything else today? [END]
[SYSTEM] I sure can. The address is Corn Exchange Street, and the phone number is 01223308871. Can I help you with anything else today?  [USER] No, that's all. Thank you. [END]
[USER] No, that's all. Thank you.  [SYSTEM] Thank you for calling us today. Goodbye. [END]
[USER] I am looking for some info on India House  [SYSTEM] India House is a restaurant located at 31 Newnham Road Newnham on the west side of town. Is this the place you are referring to? [END]
[SYSTEM] India House is a restaurant located at 31 Newnham Road Newnham on the west side of town. Is this the place you are referring to?  [USER] That sounds right. Could you reserve a table for 6 at 18:00 on Friday? [END]
[USER] That sounds right. Could you reserve a table for 6 at 18:00 on Friday?  [SYSTEM] I apologize but the booking was unsuccessful. Can we try another day or time? [END]
[SYSTEM] I apologize but the booking was unsuccessful. Can we try another day or time?  [USER] Can you try for 17:00 instead? [END]
[USER] Can you try for 17:00 instead?  [SYSTEM] Booking was successful for that time! Your table will be reserved for 15 minutes. Here is your reference number: 6BCI3XF8 . [END]
[SYSTEM] Booking was successful for that time! Your table will be reserved for 15 minutes. Here is your reference number: 6BCI3XF8 .  [USER] Great! Thanks for your help, that's all I need. [END]
[USER] Great! Thanks for your help, that's all I need.  [SYSTEM] Great! Have a wonderful day! [END]
[USER] I am looking for a place to eat in the moderate price range serving Indian food.  [SYSTEM] There are 4 places serving indian food in the moderate price range. Do you have a preferred area to dine at? [END]
[SYSTEM] There are 4 places serving indian food in the moderate price range. Do you have a preferred area to dine at?  [USER] The west. [END]
[USER] The west.  [SYSTEM] I have narrowed it down to Meghna which serves Indian Food. Would you like me to book this for you? [END]
[SYSTEM] I have narrowed it down to Meghna which serves Indian Food. Would you like me to book this for you?  [USER] Yes. could you please make a reservation for Saturday for 7 people at 15:00? [END]
[USER] Yes. could you please make a reservation for Saturday for 7 people at 15:00?  [SYSTEM] Sorry, that time slot doesn't work for what you would like. Would you like to change the day or time? [END]
[SYSTEM] Sorry, that time slot doesn't work for what you would like. Would you like to change the day or time?  [USER] How about 14:00 then? [END]
[USER] How about 14:00 then?  [SYSTEM] Booking was successful. The table will be reserved for 15 minutes. Reference number is : NR6VPA82 . [END]
[SYSTEM] Booking was successful. The table will be reserved for 15 minutes. Reference number is : NR6VPA82 .  [USER] Excellent, that's all I need. Thank you! [END]
[USER] Excellent, that's all I need. Thank you!  [SYSTEM] Thank you so much have a great day! [END]
[SYSTEM] Thank you so much have a great day!  [USER] Could you repeat the reference number please. [END]
[USER] Could you repeat the reference number please.  [SYSTEM] Reference number is : NR6VPA82 . [END]
[SYSTEM] Reference number is : NR6VPA82 .  [USER] Thanks again for all your help. [END]
[USER] Thanks again for all your help.  [SYSTEM] You are very welcome. Feel free to call again in the future. Have a great morning. [END]
[USER] I am looking for a restaurant that serves indian food.  [SYSTEM] In what area of town would you like to eat? [END]
[SYSTEM] In what area of town would you like to eat?  [USER] In the centre of town please. I am looking to stay in the expensive price range. [END]
[USER] In the centre of town please. I am looking to stay in the expensive price range.  [SYSTEM] Great, there are 6 restaurants that meet your criteria. I would suggest Curry Garden. Can I book it for you? [END]
[SYSTEM] Great, there are 6 restaurants that meet your criteria. I would suggest Curry Garden. Can I book it for you?  [USER] Yes, could you please book it for 6 people at 14:30 on tuesday? [END]
[USER] Yes, could you please book it for 6 people at 14:30 on tuesday?  [SYSTEM] Your table is reserved, ref# UQONY6CJ . Is there anything else I can help you with today? [END]
[SYSTEM] Your table is reserved, ref# UQONY6CJ . Is there anything else I can help you with today?  [USER] That would be all thank you very much. [END]
[USER] That would be all thank you very much.  [SYSTEM] Okay, you are welcome. Have a nice day! [END]
[USER] I am looking for a restaurant in the center of town that serves Russian food.  [SYSTEM] There are no Russian restaurants in the centre of town. Would you like something else? [END]
[SYSTEM] There are no Russian restaurants in the centre of town. Would you like something else?  [USER] yes please, is there any restaurant serve british food? [END]
[USER] yes please, is there any restaurant serve british food?  [SYSTEM] There is one moderately priced British restaurant and one expensive restaurant. Do you have a preference? [END]
[SYSTEM] There is one moderately priced British restaurant and one expensive restaurant. Do you have a preference?  [USER] No. What is the address and phone number? [END]
[USER] No. What is the address and phone number?  [SYSTEM] fitzbillies restaurant's phone number is 01223 352500. Their address is 51 Trumpington Street City Centre [END]
[SYSTEM] fitzbillies restaurant's phone number is 01223 352500. Their address is 51 Trumpington Street City Centre  [USER] thank you, good bye [END]
[USER] thank you, good bye  [SYSTEM] Thank you good bye [END]
[USER] I need a cheap restuarant. Probably in the west part of town  [SYSTEM] How about La Margherita? [END]
[SYSTEM] How about La Margherita?  [USER] What kind of food do they serve? [END]
[USER] What kind of food do they serve?  [SYSTEM] la margherita is an italian restaurant in the area of west in the cheap price range. [END]
[SYSTEM] la margherita is an italian restaurant in the area of west in the cheap price range.  [USER] That sounds good. What is their phone number? [END]
[USER] That sounds good. What is their phone number?  [SYSTEM] Their phone number is 01223 315232. [END]
[SYSTEM] Their phone number is 01223 315232.  [USER] that was all I needed. Bye now. [END]
[USER] that was all I needed. Bye now.  [SYSTEM] Goodbye [END]
[USER] I'm looking for a restaurant in the north.  [SYSTEM] Absolutely! What type of food are you looking to eat and is there a specific price range? [END]
[SYSTEM] Absolutely! What type of food are you looking to eat and is there a specific price range?  [USER] I want some light bites food, and cheap if possible. [END]
[USER] I want some light bites food, and cheap if possible.  [SYSTEM] I haven't found anything. Is there another cuisine you're interested in? [END]
[SYSTEM] I haven't found anything. Is there another cuisine you're interested in?  [USER] how about one that serves italian food [END]
[USER] how about one that serves italian food  [SYSTEM] da vinci pizzeria is a good choice! Would you like a reservation? [END]
[SYSTEM] da vinci pizzeria is a good choice! Would you like a reservation?  [USER] Yes I would like to book a table for 2 at 12:30 on Thursday please. [END]
[USER] Yes I would like to book a table for 2 at 12:30 on Thursday please.  [SYSTEM] Your reservation has been made. The reference number is 6BL860WY . [END]
[SYSTEM] Your reservation has been made. The reference number is 6BL860WY .  [USER] great, thanks for your help. [END]
[USER] great, thanks for your help.  [SYSTEM] Is the anything else I can help you with ? [END]
[USER] I would like a restaurant in the north part of town that serves australasian food  [SYSTEM] There are no restaurants matching your criteria. Would you like to search for something else? [END]
[SYSTEM] There are no restaurants matching your criteria. Would you like to search for something else?  [USER] How about asian oriental food? [END]
[USER] How about asian oriental food?  [SYSTEM] Saigon City serves asian oriental and they are located in the north, although they are quite expensive. Would you like the address? [END]
[SYSTEM] Saigon City serves asian oriental and they are located in the north, although they are quite expensive. Would you like the address?  [USER] Yes, I would like their address and phone number. [END]
[USER] Yes, I would like their address and phone number.  [SYSTEM] Saigon City's address is 169 High Street Chesterton Chesterton and its phone number is 01223 356555 [END]
[SYSTEM] Saigon City's address is 169 High Street Chesterton Chesterton and its phone number is 01223 356555  [USER] Thank you goodbye. [END]
[USER] Thank you goodbye.  [SYSTEM] thank you and good bye [END]
[USER] I would like a moderately priced restaurant in the north part of town  [SYSTEM] Golden Wok is located in the north part of town and is the moderate price range. Their address is 191 Histon Road Chesterton. [END]
[SYSTEM] Golden Wok is located in the north part of town and is the moderate price range. Their address is 191 Histon Road Chesterton.  [USER] Is there anything else in the moderate price range on the north part of town? [END]
[USER] Is there anything else in the moderate price range on the north part of town?  [SYSTEM] yes, the nirala is indian restaurant in the moderate price range and in the north. It is located at 7 milton road chesterton and its phone number is 01223 360966. Is there anything else I can help you with? [END]
[SYSTEM] yes, the nirala is indian restaurant in the moderate price range and in the north. It is located at 7 milton road chesterton and its phone number is 01223 360966. Is there anything else I can help you with?  [USER] No, thank you. That's all I need. [END]
[USER] No, thank you. That's all I need.  [SYSTEM] Have a good day! [END]
[USER] I would like a restaurant in the east part of town that serves gastropub food  [SYSTEM] That would be the Royal Standard at 280 Mill Road City Centre. They can be reached at 01223247877. [END]
[SYSTEM] That would be the Royal Standard at 280 Mill Road City Centre. They can be reached at 01223247877.  [USER] Thank you goodbye. [END]
[USER] Thank you goodbye.  [SYSTEM] Goodbye! [END]
[USER] I would like a restaurant in the west part of town that serves international food  [SYSTEM] Sorry but there is not matching restaurants serving international food in the west . [END]
[SYSTEM] Sorry but there is not matching restaurants serving international food in the west .  [USER] Is there any restaurant in the east that serves international food? [END]
[USER] Is there any restaurant in the east that serves international food?  [SYSTEM] Yes, the missing sock serves international food and is located in the east part of town. [END]
[SYSTEM] Yes, the missing sock serves international food and is located in the east part of town.  [USER] can i have the phone number please [END]
[USER] can i have the phone number please  [SYSTEM] there phone number is 01223812660 is there anything else I can help you with? [END]
[SYSTEM] there phone number is 01223812660 is there anything else I can help you with?  [USER] That is all, thank you. [END]
[USER] That is all, thank you.  [SYSTEM] Goodbye. [END]
[USER] I need to find a restaurant in the north side of town  [SYSTEM] OK. Did you have a certain price range of cuisine in mind? [END]
[SYSTEM] OK. Did you have a certain price range of cuisine in mind?  [USER] I don't have a price range. I'm looking for a restaurant that serves catalan food. [END]
[USER] I don't have a price range. I'm looking for a restaurant that serves catalan food.  [SYSTEM] I'm sorry, there are no restaurants listed serving catalan food in the north part of town. Would you like to try something else? [END]
[SYSTEM] I'm sorry, there are no restaurants listed serving catalan food in the north part of town. Would you like to try something else?  [USER] How about French type food? [END]
[USER] How about French type food?  [SYSTEM] restaurant two two is in the north area and serving french food, can I help you with anything else? [END]
[SYSTEM] restaurant two two is in the north area and serving french food, can I help you with anything else?  [USER] Yes. Can I get the name and phone number of one of those restaurants? [END]
[USER] Yes. Can I get the name and phone number of one of those restaurants?  [SYSTEM] Yes, Restaurant Two Two can be reached at 01223 351880. [END]
[SYSTEM] Yes, Restaurant Two Two can be reached at 01223 351880.  [USER] What is the area again sorry ? [END]
[USER] What is the area again sorry ?  [SYSTEM] it is located in the north part of town [END]
[SYSTEM] it is located in the north part of town  [USER] Thank you for your help. Have a great evening. [END]
[USER] Thank you for your help. Have a great evening.  [SYSTEM] Thank you. Goodbye. [END]
[USER] Can you help me find a Russian restaurant?  [SYSTEM] I'm sorry, there are Russian restaurants. Do you have a secondary choice? [END]
[SYSTEM] I'm sorry, there are Russian restaurants. Do you have a secondary choice?  [USER] Yes, what about European type food? [END]
[USER] Yes, what about European type food?  [SYSTEM] Please wait a moment while I check for European restaurants for you [END]
[SYSTEM] Please wait a moment while I check for European restaurants for you  [USER] If you find a European restaurant, I would also like the address and phone number. [END]
[USER] If you find a European restaurant, I would also like the address and phone number.  [SYSTEM] Cambridge lodge restaurant serves european food, their phone number is 01223 355166 and address is Cambridge Lodge Hotel 139 Huntingdon Road City Centre [END]
[SYSTEM] Cambridge lodge restaurant serves european food, their phone number is 01223 355166 and address is Cambridge Lodge Hotel 139 Huntingdon Road City Centre  [USER] Thank you. Good bye. [END]
[USER] Thank you. Good bye.  [SYSTEM] thank you good bye [END]
[USER] What kind of restaurants are on the east side of town?  [SYSTEM] There are British, Indian, Italian, International, and Chinese restaurant. Plus a gastropub. [END]
[SYSTEM] There are British, Indian, Italian, International, and Chinese restaurant. Plus a gastropub.  [USER] I would like an Indian restaurant. [END]
[USER] I would like an Indian restaurant.  [SYSTEM] Curry Prince is located in the east area and serves indian food. [END]
[SYSTEM] Curry Prince is located in the east area and serves indian food.  [USER] What is the address and phone number? [END]
[USER] What is the address and phone number?  [SYSTEM] Their address is 451 Newmarket Road Fen Ditton and phone 01223 566388. [END]
[SYSTEM] Their address is 451 Newmarket Road Fen Ditton and phone 01223 566388.  [USER] Thank you goodbye. [END]
[USER] Thank you goodbye.  [SYSTEM] Glad to be of service. Goodbye. [END]
[USER] I'm looking for a steakhouse restaurant in the east part of town.  [SYSTEM] What price range would you like? [END]
[SYSTEM] What price range would you like?  [USER] Any price range will be fine. [END]
[USER] Any price range will be fine.  [SYSTEM] I have no steakhouse in the east area, but The River Bar Steakhouse and Grill is located in the centre area. [END]
[SYSTEM] I have no steakhouse in the east area, but The River Bar Steakhouse and Grill is located in the centre area.  [USER] I really need something in the east part of town. How about Indian food? [END]
[USER] I really need something in the east part of town. How about Indian food?  [SYSTEM] Curry Prince is a moderately priced restaurant in the east of town that serves Indian food. [END]
[SYSTEM] Curry Prince is a moderately priced restaurant in the east of town that serves Indian food.  [USER] Sounds great, what is their address and phone number? [END]
[USER] Sounds great, what is their address and phone number?  [SYSTEM] Curry Prince is located at 451 Newmarket Road Fen Ditton; their phone number is 01223566388. [END]
[SYSTEM] Curry Prince is located at 451 Newmarket Road Fen Ditton; their phone number is 01223566388.  [USER] Thank you, goodbye. [END]
[USER] Thank you, goodbye.  [SYSTEM] Thank you, goodbye. [END]
[USER] I am looking for a cheap restaurant in the centre of town.  [SYSTEM] There are several options available in the town centre. Is there a particular cuisine that you would prefer? Asian, chinese, indian, italian, mediterranean, modern european, portuguese, or spanish? [END]
[SYSTEM] There are several options available in the town centre. Is there a particular cuisine that you would prefer? Asian, chinese, indian, italian, mediterranean, modern european, portuguese, or spanish?  [USER] I want a restaurant that serves molecular gastronomy food. [END]
[USER] I want a restaurant that serves molecular gastronomy food.  [SYSTEM] Unfortunately, I don't happen to have a listing that matches your request. Would you like me to try a different price range or cuisine style? [END]
[SYSTEM] Unfortunately, I don't happen to have a listing that matches your request. Would you like me to try a different price range or cuisine style?  [USER] Are there any Chinese restaurants? [END]
[USER] Are there any Chinese restaurants?  [SYSTEM] Yes, there are 3 Chinese restaurants that are in the cheap price range. I would recommend the Golden House. Would you like for me to book you a table? [END]
[SYSTEM] Yes, there are 3 Chinese restaurants that are in the cheap price range. I would recommend the Golden House. Would you like for me to book you a table?  [USER] Yes, please book it for around 20:00 for 3 people [END]
[USER] Yes, please book it for around 20:00 for 3 people  [SYSTEM] What day would you like to book? [END]
[SYSTEM] What day would you like to book?  [USER] Actually, scratch that, I don't want to book the restaurant. Could you give me the phone number for the Golden House? [END]
[USER] Actually, scratch that, I don't want to book the restaurant. Could you give me the phone number for the Golden House?  [SYSTEM] Their phone number is 01842753771. Is there anything else I can help you with? [END]
[SYSTEM] Their phone number is 01842753771. Is there anything else I can help you with?  [USER] Can you give me the address and postcode as well? [END]
[USER] Can you give me the address and postcode as well?  [SYSTEM] The Golden House is located at 12 Lensfield Road City Centre. Their postcode is cb21eg. Can I help you with anything else? [END]
[SYSTEM] The Golden House is located at 12 Lensfield Road City Centre. Their postcode is cb21eg. Can I help you with anything else?  [USER] No, that's it. Thanks a bunch. [END]
[USER] No, that's it. Thanks a bunch.  [SYSTEM] You're welcome. Enjoy your meal! [END]
[USER] What's available in the centre, in the way of cheap places to eat?  [SYSTEM] I'm showing 15 cheap restaurants in the area. Do you a preference for a type of food? [END]
[SYSTEM] I'm showing 15 cheap restaurants in the area. Do you a preference for a type of food?  [USER] No preference. Would you recommend a restaurant for me? [END]
[USER] No preference. Would you recommend a restaurant for me?  [SYSTEM] How about the Dojo Noodle Bar? It serves Asian Oriental food. [END]
[SYSTEM] How about the Dojo Noodle Bar? It serves Asian Oriental food.  [USER] I think that sounds good. Can you go ahead and book that for me? I need it for 1 person on Wednesday at 14:00. Can I also get that reference number? [END]
[USER] I think that sounds good. Can you go ahead and book that for me? I need it for 1 person on Wednesday at 14:00. Can I also get that reference number?  [SYSTEM] There is the dojo noodle bar in the centre. Would you like me to book a reservation there. [END]
[SYSTEM] There is the dojo noodle bar in the centre. Would you like me to book a reservation there.  [USER] Great yes please do, can I get the reference number for that? [END]
[USER] Great yes please do, can I get the reference number for that?  [SYSTEM] I'm sorry, I wasn't able to get a table. Would you like me to try J Restaurant, with similar cuisine? Or maybe somewhere else? [END]
[SYSTEM] I'm sorry, I wasn't able to get a table. Would you like me to try J Restaurant, with similar cuisine? Or maybe somewhere else?  [USER] Yes try to book it there and give me the reference number also. [END]
[USER] Yes try to book it there and give me the reference number also.  [SYSTEM] I was able to book you at J Restaurant. The reference number is 1PWMNUIK . The table will be reserved for 15 minutes. [END]
[SYSTEM] I was able to book you at J Restaurant. The reference number is 1PWMNUIK . The table will be reserved for 15 minutes.  [USER] Thank you for your help. That will be all I need for now. Bye. [END]
[USER] Thank you for your help. That will be all I need for now. Bye.  [SYSTEM] You are very welcome. Enjoy your day and your meal on Wednesday. Bye. [END]
[USER] I am looking for a restaurant in the north part of town that is in the cheap price range.  [SYSTEM] Royal Spice is in the north part of town and is in the cheap price range. [END]
[SYSTEM] Royal Spice is in the north part of town and is in the cheap price range.  [USER] can i have something else? [END]
[USER] can i have something else?  [SYSTEM] Da vinci pizzeria serves is in the north part of town and in the cheap price range. Would you like their location? [END]
[SYSTEM] Da vinci pizzeria serves is in the north part of town and in the cheap price range. Would you like their location?  [USER] What is the address? [END]
[USER] What is the address?  [SYSTEM] their address is 20 Milton Road Chesterton [END]
[SYSTEM] their address is 20 Milton Road Chesterton  [USER] Thank you good bye. [END]
[USER] Thank you good bye.  [SYSTEM] You're welcome, goodbye [END]
[USER] I'm looking for a restaurant my friend recommended, I think she called it the Curry Prince.  [SYSTEM] Yes, I found what you're looking for. Would you like the address? [END]
[SYSTEM] Yes, I found what you're looking for. Would you like the address?  [USER] Sure, and can you book it for Friday at 12:00 for 3 people? [END]
[USER] Sure, and can you book it for Friday at 12:00 for 3 people?  [SYSTEM] The address is 451 Newmarket Road Fen Ditton. Unfortunately, the restaurant is fully booked. Do you have another restaurant or type of food in mind? [END]
[SYSTEM] The address is 451 Newmarket Road Fen Ditton. Unfortunately, the restaurant is fully booked. Do you have another restaurant or type of food in mind?  [USER] Something in the same area and price range would work. [END]
[USER] Something in the same area and price range would work.  [SYSTEM] I have rajmahal which is in the same area and price range. Would you like me to book a table there? [END]
[SYSTEM] I have rajmahal which is in the same area and price range. Would you like me to book a table there?  [USER] Sure thing. I'll need a reference number too. [END]
